student_id,name,major,cgpa,total_credits
SV001,Nguyễn Văn A,IT,7.9,18
SV002,Nguyễn Văn B,IT,8.3,46
SV003,Nguyễn Văn C,IT,6.0,109
SV004,Nguyễn Văn D,IT,5.5,109
SV005,Nguyễn Văn E,IT,9.0,26
SV006,Nguyễn Văn F,IT,7.7,19
SV007,Nguyễn Văn G,IT,5.1,42
SV008,Nguyễn Văn H,IT,6.0,92
SV009,Nguyễn Văn I,IT,5.1,40
SV010,Nguyễn Văn J,IT,8.2,104
SV011,Nguyễn Văn K,IT,7.5,43
SV012,Nguyễn Văn L,IT,7.0,50
SV013,Nguyễn Văn M,IT,8.6,15
SV014,Nguyễn Văn N,IT,8.4,35
SV015,Nguyễn Văn O,IT,8.1,58
SV016,Nguyễn Văn P,IT,6.3,42
SV017,Nguyễn Văn Q,IT,9.3,58
SV018,Nguyễn Văn R,IT,5.5,63
SV019,Nguyễn Văn S,IT,5.4,59
SV020,Nguyễn Văn T,IT,7.7,118
